bacteria,anti,dst,year,total_count
Acinetobacter baumannii complex,PIP,48,2021下半年,332
Acinetobacter baumannii complex,TZP,59,2021下半年,332
Acinetobacter baumannii complex,SAM,71,2021下半年,332
Acinetobacter baumannii complex,AN,66,2021下半年,332
Acinetobacter baumannii complex,LVX,,2021下半年,332
Acinetobacter baumannii complex,CIP,59,2021下半年,332
Acinetobacter baumannii complex,IPM,65,2021下半年,332
Acinetobacter baumannii complex,CAZ,61,2021下半年,332
Acinetobacter baumannii complex,MEM,65,2021下半年,332
Acinetobacter baumannii complex,FEP,67,2021下半年,332
Acinetobacter baumannii complex,SXT,60,2021下半年,332
Acinetobacter baumannii,PIP,42,2021下半年,240
Acinetobacter baumannii,TZP,48,2021下半年,240
Acinetobacter baumannii,SAM,62,2021下半年,240
Acinetobacter baumannii,AN,57,2021下半年,240
Acinetobacter baumannii,LVX,,2021下半年,240
Acinetobacter baumannii,CIP,48,2021下半年,240
Acinetobacter baumannii,IPM,54,2021下半年,240
Acinetobacter baumannii,CAZ,50,2021下半年,240
Acinetobacter baumannii,MEM,54,2021下半年,240
Acinetobacter baumannii,FEP,57,2021下半年,240
Acinetobacter baumannii,SXT,51,2021下半年,240
Acinetobacter calcoaceticus,PIP,100,2021下半年,3
Acinetobacter calcoaceticus,TZP,100,2021下半年,3
Acinetobacter calcoaceticus,SAM,100,2021下半年,3
Acinetobacter calcoaceticus,AN,100,2021下半年,3
Acinetobacter calcoaceticus,LVX,,2021下半年,3
Acinetobacter calcoaceticus,CIP,100,2021下半年,3
Acinetobacter calcoaceticus,IPM,100,2021下半年,3
Acinetobacter calcoaceticus,CAZ,100,2021下半年,3
Acinetobacter calcoaceticus,MEM,100,2021下半年,3
Acinetobacter calcoaceticus,FEP,100,2021下半年,3
Acinetobacter calcoaceticus,SXT,100,2021下半年,3
Acinetobacter nosocomialis,PIP,78,2021下半年,29
Acinetobacter nosocomialis,TZP,79,2021下半年,29
Acinetobacter nosocomialis,SAM,86,2021下半年,29
Acinetobacter nosocomialis,AN,96,2021下半年,29
Acinetobacter nosocomialis,LVX,,2021下半年,29
Acinetobacter nosocomialis,CIP,83,2021下半年,29
Acinetobacter nosocomialis,IPM,83,2021下半年,29
Acinetobacter nosocomialis,CAZ,90,2021下半年,29
Acinetobacter nosocomialis,MEM,83,2021下半年,29
Acinetobacter nosocomialis,FEP,83,2021下半年,29
Acinetobacter nosocomialis,SXT,76,2021下半年,29
Acinetobacter pittii,PIP,60,2021下半年,60
Acinetobacter pittii,TZP,61,2021下半年,60
Acinetobacter pittii,SAM,93,2021下半年,60
Acinetobacter pittii,AN,100,2021下半年,60
Acinetobacter pittii,LVX,95,2021下半年,60
Acinetobacter pittii,CIP,,2021下半年,60
Acinetobacter pittii,IPM,93,2021下半年,60
Acinetobacter pittii,CAZ,97,2021下半年,60
Acinetobacter pittii,MEM,86,2021下半年,60
Acinetobacter pittii,FEP,97,2021下半年,60
Acinetobacter pittii,SXT,97,2021下半年,60
Acinetobacter species,PIP,88,2021下半年,153
Acinetobacter species,TZP,56,2021下半年,153
Acinetobacter species,SAM,41,2021下半年,153
Acinetobacter species,AN,93,2021下半年,153
Acinetobacter species,LVX,51,2021下半年,153
Acinetobacter species,CIP,,2021下半年,153
Acinetobacter species,IPM,78,2021下半年,153
Acinetobacter species,CAZ,61,2021下半年,153
Acinetobacter species,MEM,49,2021下半年,153
Acinetobacter species,FEP,87,2021下半年,153
Acinetobacter species,SXT,89,2021下半年,153
Burkholderia cepacia complex,PIP,54,2021下半年,30
Burkholderia cepacia complex,TZP,,2021下半年,30
Burkholderia cepacia complex,SAM,,2021下半年,30
Burkholderia cepacia complex,AN,,2021下半年,30
Burkholderia cepacia complex,LVX,,2021下半年,30
Burkholderia cepacia complex,CIP,,2021下半年,30
Burkholderia cepacia complex,IPM,,2021下半年,30
Burkholderia cepacia complex,CAZ,100,2021下半年,30
Burkholderia cepacia complex,MEM,97,2021下半年,30
Burkholderia cepacia complex,FEP,,2021下半年,30
Burkholderia cepacia complex,SXT,97,2021下半年,30
Stenotrophomonas maltophilia,PIP,,2021下半年,274
Stenotrophomonas maltophilia,TZP,,2021下半年,274
Stenotrophomonas maltophilia,SAM,,2021下半年,274
Stenotrophomonas maltophilia,AN,,2021下半年,274
Stenotrophomonas maltophilia,LVX,90,2021下半年,274
Stenotrophomonas maltophilia,CIP,,2021下半年,274
Stenotrophomonas maltophilia,IPM,,2021下半年,274
Stenotrophomonas maltophilia,CAZ,,2021下半年,274
Stenotrophomonas maltophilia,MEM,,2021下半年,274
Stenotrophomonas maltophilia,FEP,,2021下半年,274
Stenotrophomonas maltophilia,SXT,87,2021下半年,274
Pseudomonas aeruginosa,PIP,90,2021下半年,828
Pseudomonas aeruginosa,TZP,93,2021下半年,828
Pseudomonas aeruginosa,GN,95,2021下半年,828
Pseudomonas aeruginosa,AN,99.5,2021下半年,828
Pseudomonas aeruginosa,LVX,85,2021下半年,828
Pseudomonas aeruginosa,CIP,89,2021下半年,828
Pseudomonas aeruginosa,IPM,92,2021下半年,828
Pseudomonas aeruginosa,CAZ,94,2021下半年,828
Pseudomonas aeruginosa,MEM,93,2021下半年,828
Pseudomonas aeruginosa,FEP,98,2021下半年,828
Citrobacter species,SAM,69,2021下半年,198
